Marca,Tema,Porcentaje_Normalizado
Xiaomi,Cámara,8.8
Xiaomi,Batería,19.45
Xiaomi,Precio,37.42
Xiaomi,Rendimiento,24.29
Xiaomi,Pantalla,10.04
Samsung,Cámara,18.78
Samsung,Batería,12.76
Samsung,Precio,17.95
Samsung,Rendimiento,31.12
Samsung,Pantalla,19.39
Apple,Cámara,15.91
Apple,Batería,15.0
Apple,Precio,35.68
Apple,Rendimiento,20.23
Apple,Pantalla,13.18
