Marca,Tema,Porcentaje_Normalizado
Xiaomi,Cámara,10.97
Xiaomi,Batería,33.55
Xiaomi,Precio,14.84
Xiaomi,Rendimiento,25.81
Xiaomi,Pantalla,14.84
Samsung,Cámara,13.54
Samsung,Batería,33.14
Samsung,Precio,11.82
Samsung,Rendimiento,24.78
Samsung,Pantalla,16.71
Apple,Cámara,8.93
Apple,Batería,41.07
Apple,Precio,25.0
Apple,Rendimiento,16.07
Apple,Pantalla,8.93
